8241.489, 2824.634, 27
8245.800, 2814.630, 24
8242.490, 2823.750, 27
8242.549, 2825.760, 27
8243.890, 2820.844, 40
8245.100, 2816.967, 25
8245.128, 2821.742, 28
8246.349, 2817.047, 30
8250.506, 2812.500, 25
8250.740, 2811.267, 25
8256.970, 2822.355, 39
8256.980, 2822.298, 38
8256.999, 2822.258, 36
8256.999, 2822.458, 39
8257.000, 2822.380, 40
8257.005, 2822.300, 35
8257.019, 2815.413, 11
8257.191, 2816.683, 29
8257.235, 2815.316, 20
8257.394, 2815.148, 23
8250.256, 2819.426, 0, 'start'
8250.256, 2819.426, 0, 'end'
